EMA_Span,Derivadas,Rolling,Roll_Window,Squared,MW_Window,N_Features,Components_C,RMSE,R2,Jarque_Bera_Stat,Jarque_Bera_p,Lag_Top_Temp,Lag_Top_Pressure,Lag_Reflux_Flow,Lag_Flow_To_Next_Process,Lag_Temp_Sixth_Tray,Lag_Bottom_Temp_1,Lag_Bottom_Temp_2
21,False,True,8.0,True,400,29,20,0.01958819490205188,0.9909717151655713,16.2641,0.000294,10,0,2,16,9,10,10
18,False,True,8.0,False,300,22,20,0.01961499381177653,0.9909668461533412,4.5018,0.105306,10,0,2,17,9,11,11
18,False,True,8.0,True,300,29,18,0.019642479978545714,0.9909415123973847,25.6208,3e-06,10,0,2,17,9,11,11
18,True,True,16.0,False,400,29,20,0.019854158479781045,0.9909047626550679,13.1096,0.001423,10,0,2,17,9,11,11
21,False,True,12.0,True,400,29,18,0.019748011505885656,0.9909040661523403,43.4975,0.0,10,0,2,16,9,10,10
18,False,True,18.0,False,200,22,12,0.019906998559785567,0.9908952953599649,20.5384,3.5e-05,10,0,2,17,9,11,11
18,False,True,18.0,True,200,29,12,0.019925585861932944,0.9908782851711015,194.1816,0.0,10,0,2,17,9,11,11
21,True,True,12.0,False,400,29,18,0.01980801659176552,0.9908487054886036,15.278,0.000481,10,0,2,16,9,10,10
18,False,True,8.0,False,300,22,18,0.019749069403384528,0.9908429343439957,5.062,0.079581,10,0,2,17,9,11,11
15,False,True,18.0,True,200,29,16,0.020016047337540015,0.9908149906438182,318.5012,0.0,11,1,3,18,10,11,11
21,True,True,18.0,False,400,29,20,0.019974772779864005,0.9908136047839878,8.872,0.011843,10,0,2,16,9,10,10
18,False,True,8.0,True,200,29,18,0.01978652648665689,0.990808165896279,2486.5555,0.0,10,0,2,17,9,11,11
18,False,True,8.0,False,400,22,18,0.019791968765282608,0.9908031087780502,2.0342,0.36164,10,0,2,17,9,11,11
