EMA_Span,Derivadas,Rolling,Roll_Window,Squared,N_Features,Best_C,RMSE,R2,Jarque_Bera_Stat,Jarque_Bera_p,Lag_Top_Temp,Lag_Top_Pressure,Lag_Reflux_Flow,Lag_Flow_To_Next_Process,Lag_Temp_Sixth_Tray,Lag_Bottom_Temp_1,Lag_Bottom_Temp_2
24,False,True,8.0,True,29,12,0.030077025599302955,0.9786677072252847,15.0673,0.000535,10,0,1,15,8,10,10
21,True,True,6.0,True,36,10,0.030060069109571128,0.9786451555437709,99.2135,0.0,10,0,2,16,9,10,10
24,False,True,4.0,False,22,20,0.029995778634902867,0.9785982236282861,105.4078,0.0,10,0,1,15,8,10,10
6,False,True,14.0,False,22,14,0.03060820061319335,0.9785217663534571,7.9141,0.019119,14,4,6,22,12,14,14
24,False,True,16.0,False,22,8,0.030493439879690155,0.9784531631357637,8.9643,0.011309,10,0,1,15,8,10,10
6,False,True,12.0,False,22,14,0.03061904815912714,0.9784143663568536,5.7533,0.056323,14,4,6,22,12,14,14
27,False,True,14.0,False,22,8,0.030457725436278126,0.9783630777364016,6.2059,0.044917,9,0,0,14,8,9,9
21,False,True,18.0,True,29,8,0.03067343155752381,0.978337620495432,6.2544,0.043841,10,0,2,16,9,10,10
21,False,True,16.0,True,29,8,0.030627115774147815,0.9783104217588764,5.3269,0.069709,10,0,2,16,9,10,10
21,False,True,6.0,True,29,20,0.030302936109653584,0.9782986933709039,6.4916,0.038938,10,0,2,16,9,10,10
12,True,False,,True,22,8,0.030347887771759955,0.9781867586513466,42.8383,0.0,12,2,4,19,11,12,12
6,False,True,14.0,True,29,12,0.03088616546845017,0.9781298907905478,1.8142,0.403693,14,4,6,22,12,14,14
12,True,True,16.0,False,29,8,0.03094745557759289,0.9779958707107692,18.21,0.000111,12,2,4,19,11,12,12
9,True,True,16.0,False,29,8,0.031033577315822743,0.9779681584223928,14.4593,0.000725,13,3,5,21,11,13,13
15,True,False,,True,22,8,0.030479383601375365,0.9779495737231048,107.7857,0.0,11,1,3,18,10,11,11
27,False,True,18.0,True,29,8,0.030889774280214524,0.9779368063766821,6.4279,0.040198,9,0,0,14,8,9,9
21,True,True,4.0,True,36,10,0.03059093773670539,0.977787869817512,53.0751,0.0,10,0,2,16,9,10,10
6,False,True,16.0,True,29,12,0.03124644339170277,0.9777130523177747,2.2173,0.330009,14,4,6,22,12,14,14
15,False,True,16.0,False,22,8,0.031157099434015848,0.9776490765712736,3.4547,0.177755,11,1,3,18,10,11,11
27,False,True,16.0,False,22,8,0.031120250683058577,0.9775096389789854,9.2526,0.009791,9,0,0,14,8,9,9
9,True,True,4.0,False,29,10,0.030967570499856076,0.9774847213621566,16.0738,0.000323,13,3,5,21,11,13,13
6,False,True,10.0,False,22,12,0.03125367942734211,0.9774139017419988,0.4166,0.811953,14,4,6,22,12,14,14
9,False,True,6.0,True,29,16,0.031090735598987625,0.977404801482813,11.7429,0.002819,13,3,5,21,11,13,13
18,False,True,18.0,True,29,8,0.03137391027118217,0.9773852603724271,5.1634,0.075644,10,0,2,17,9,11,11
6,True,True,18.0,False,29,8,0.03155200199351421,0.9773731538519748,1.4333,0.488376,14,4,6,22,12,14,14
6,True,True,8.0,False,29,12,0.03136074461376407,0.9771606896936598,4.9016,0.086223,14,4,6,22,12,14,14
12,True,True,14.0,False,29,8,0.031500159306023984,0.9771052150463418,33.5591,0.0,12,2,4,19,11,12,12
9,True,True,8.0,True,36,10,0.03137271897379639,0.9770936919731339,13.3513,0.001261,13,3,5,21,11,13,13
21,True,True,6.0,False,29,10,0.031163595821232976,0.9770484727819443,106.7866,0.0,10,0,2,16,9,10,10
18,False,True,8.0,True,29,12,0.03128750938392651,0.9770170886577508,13.3126,0.001286,10,0,2,17,9,11,11
27,False,True,16.0,True,29,8,0.03146701682779182,0.9770056361957487,5.2428,0.0727,9,0,0,14,8,9,9
15,True,True,16.0,False,29,8,0.031674850651481866,0.9769000743635016,39.6526,0.0,11,1,3,18,10,11,11
12,True,True,18.0,True,36,8,0.03184203663674178,0.9768052981596922,4.8736,0.087442,12,2,4,19,11,12,12
6,False,True,6.0,False,22,18,0.03161345667503055,0.9766898794214276,5.2765,0.071487,14,4,6,22,12,14,14
12,True,True,16.0,True,36,8,0.0319009625175284,0.9766190655004298,11.8924,0.002616,12,2,4,19,11,12,12
15,True,True,16.0,True,36,8,0.0318696811157382,0.9766150273603225,60.3709,0.0,11,1,3,18,10,11,11
15,True,True,18.0,False,29,8,0.03193959531495935,0.9766126086726904,14.3164,0.000778,11,1,3,18,10,11,11
18,False,True,16.0,True,29,8,0.03184472172300354,0.9766016095071229,3.54,0.170331,10,0,2,17,9,11,11
15,False,True,16.0,True,29,8,0.03191181380837586,0.9765531551915518,2.3793,0.304333,11,1,3,18,10,11,11
9,True,True,18.0,True,36,8,0.032108459376788766,0.9765172743631283,2.2526,0.324228,13,3,5,21,11,13,13
21,True,True,4.0,False,29,10,0.031543643670957744,0.9763828033241925,63.896,0.0,10,0,2,16,9,10,10
12,False,True,6.0,True,29,14,0.03171933592558691,0.9763782956942063,13.6959,0.001062,12,2,4,19,11,12,12
9,True,True,6.0,True,36,10,0.031815157772907623,0.9763395865743918,9.8372,0.00731,13,3,5,21,11,13,13
15,True,True,14.0,False,29,8,0.03202197001123765,0.9762898118863662,85.8599,0.0,11,1,3,18,10,11,11
18,True,False,,True,22,10,0.03162684213225173,0.9762074383382158,230.995,0.0,10,0,2,17,9,11,11
9,True,True,14.0,False,29,8,0.032246191967453194,0.9761102743790417,23.8099,7e-06,13,3,5,21,11,13,13
15,False,True,18.0,True,29,8,0.03228924129138066,0.976097757679751,2.6347,0.267843,11,1,3,18,10,11,11
6,False,True,8.0,False,22,14,0.032082939682012784,0.9760966614226834,3.6958,0.157568,14,4,6,22,12,14,14
24,False,True,18.0,True,29,8,0.03224028244077546,0.9760167108268222,5.4542,0.065408,10,0,1,15,8,10,10
18,True,False,,False,15,8,0.03179801746134425,0.9759491943453705,235.0464,0.0,10,0,2,17,9,11,11
9,True,True,4.0,True,36,10,0.03201085083668276,0.9759421124069589,10.2425,0.005969,13,3,5,21,11,13,13
6,False,True,12.0,True,29,12,0.03232886089298188,0.9759363093898029,0.0649,0.968093,14,4,6,22,12,14,14
12,True,True,14.0,True,36,8,0.03242482853984703,0.9757413602661615,18.3384,0.000104,12,2,4,19,11,12,12
6,False,True,4.0,False,22,18,0.03222047531630611,0.9756795291746955,4.5022,0.105284,14,4,6,22,12,14,14
15,True,True,14.0,True,36,8,0.03245776217624202,0.9756400689757433,93.9459,0.0,11,1,3,18,10,11,11
12,False,True,14.0,False,22,8,0.03263579962674423,0.9754246572052904,1.9811,0.371376,12,2,4,19,11,12,12
9,True,True,16.0,True,36,8,0.032827687730417665,0.9753471174896404,5.5354,0.062807,13,3,5,21,11,13,13
12,True,True,12.0,False,29,8,0.032648551298445676,0.9752999110810184,37.7429,0.0,12,2,4,19,11,12,12
6,True,True,16.0,False,29,8,0.03297087834901194,0.975185219089979,3.5745,0.167423,14,4,6,22,12,14,14
24,False,True,18.0,False,22,8,0.032802478363672685,0.9751729920252695,12.0916,0.002368,10,0,1,15,8,10,10
21,False,True,14.0,True,29,8,0.03273230621346611,0.975119250185673,2.2861,0.318838,10,0,2,16,9,10,10
6,True,True,18.0,True,36,8,0.03319637233651524,0.9749532467909934,0.4315,0.805928,14,4,6,22,12,14,14
24,False,True,16.0,True,29,8,0.03290136157267455,0.9749159055102906,4.8966,0.086441,10,0,1,15,8,10,10
27,False,True,14.0,True,29,8,0.03280797292193038,0.9748950508710597,4.6693,0.096843,9,0,0,14,8,9,9
9,True,False,,True,22,8,0.03263681161359759,0.9748821065459323,41.2777,0.0,13,3,5,21,11,13,13
27,True,True,8.0,False,29,10,0.03267683250462098,0.9747654033674691,119.648,0.0,9,0,0,14,8,9,9
18,True,True,6.0,True,36,10,0.03273182595278487,0.9747356440772029,100.2812,0.0,10,0,2,17,9,11,11
6,True,True,8.0,True,36,16,0.03303844970713415,0.9746516570566768,1.1529,0.561884,14,4,6,22,12,14,14
27,True,True,6.0,True,36,10,0.03268877275054077,0.9746369275698304,107.7405,0.0,9,0,0,14,8,9,9
15,True,True,12.0,False,29,8,0.03308908783895694,0.9745738945450534,121.1577,0.0,11,1,3,18,10,11,11
6,False,True,10.0,True,29,12,0.03326815596579028,0.9744084633261156,1.2576,0.533229,14,4,6,22,12,14,14
6,True,True,4.0,False,29,10,0.03308755902809321,0.9743529421867728,3.9042,0.141972,14,4,6,22,12,14,14
12,True,True,12.0,True,36,8,0.03331811343754954,0.9742764151954891,19.16,6.9e-05,12,2,4,19,11,12,12
18,True,True,16.0,True,36,8,0.033433670806869965,0.9742083460989653,117.0328,0.0,10,0,2,17,9,11,11
6,False,True,8.0,True,29,14,0.03337791624165249,0.9741280779240431,21.6417,2e-05,14,4,6,22,12,14,14
18,True,True,16.0,False,29,8,0.03348805629169229,0.974124368933149,56.066,0.0,10,0,2,17,9,11,11
12,False,True,16.0,True,29,8,0.033565154910218546,0.9741159873500874,0.1253,0.939269,12,2,4,19,11,12,12
27,False,True,18.0,False,22,8,0.033506439895849165,0.9740405504992304,9.3275,0.009431,9,0,0,14,8,9,9
27,True,True,4.0,True,36,10,0.033007120756702396,0.9740313945556164,75.3327,0.0,9,0,0,14,8,9,9
6,True,True,6.0,False,29,10,0.03344015820554851,0.9739182218289855,3.9949,0.135684,14,4,6,22,12,14,14
18,True,True,18.0,False,29,8,0.03370684959211975,0.9738969883102617,27.6089,1e-06,10,0,2,17,9,11,11
15,True,True,12.0,True,36,8,0.03355785246455302,0.973848381374602,108.3551,0.0,11,1,3,18,10,11,11
